2017/02/10 17:37:45
Time (sec),PTAT,P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252,P253,P254,P255
0.203,3.9890625,3.815625,3.740625,3.684375,3.73125,3.6984375,3.7171875,3.7265625,3.7265625,3.7828125,3.7265625,3.7734375,3.759375,3.73125,3.759375,3.73125,3.815625,3.75,3.7828125,3.759375,3.7265625,3.740625,3.7546875,3.8015625,3.80625,3.759375,3.7546875,3.6984375,3.740625,3.7265625,3.6890625,3.6984375,3.740625,3.703125,3.759375,3.73125,3.75,3.759375,3.76875,3.815625,3.815625,3.815625,3.76875,3.7171875,3.759375,3.75,3.7875,3.759375,3.7734375,3.7546875,3.73125,3.7546875,3.76875,3.7734375,3.7734375,3.7828125,3.7828125,3.7828125,3.7828125,3.7734375,3.7734375,3.76875,3.75,3.73125,3.7546875,3.7171875,3.6984375,3.759375,3.7734375,3.8203125,3.7875,3.7875,3.75,3.7875,3.7875,3.7828125,3.7828125,3.7734375,3.7125,3.75,3.7734375,3.7875,3.759375,3.76875,3.73125,3.740625,3.7875,3.796875,3.796875,3.7546875,3.75,3.7875,3.7875,3.7828125,3.76875,3.7546875,3.73125,3.796875,3.759375,3.7734375,3.7828125,3.75,3.7546875,3.796875,3.796875,3.7546875,3.7546875,3.7546875,3.7875,3.7828125,3.8203125,3.759375,3.740625,3.75,3.815625,3.7734375,3.7875,3.796875,3.7546875,3.796875,3.7546875,3.796875,3.796875,3.7546875,3.75,3.740625,3.7734375,3.759375,3.796875,3.75,3.76875,3.7828125,3.7875,3.796875,3.796875,3.7546875,3.7546875,3.7546875,3.7546875,3.7546875,3.75,3.740625,3.73125,3.76875,3.796875,3.796875,3.759375,3.7734375,3.740625,3.75,3.796875,3.796875,3.7546875,3.7546875,3.7546875,3.796875,3.7875,3.7828125,3.7734375,3.7125,3.740625,3.796875,3.759375,3.7734375,3.7828125,3.75,3.7546875,3.7546875,3.7546875,3.7546875,3.7546875,3.75,3.75,3.740625,3.7734375,3.759375,3.740625,3.7265625,3.8015625,3.815625,3.7734375,3.7875,3.75,3.7875,3.796875,3.796875,3.75,3.7875,3.740625,3.7734375,3.76875,3.8015625,3.7828125,3.76875,3.740625,3.80625,3.815625,3.7734375,3.740625,3.740625,3.7875,3.7875,3.7875,3.740625,3.73125,3.76875,3.759375,3.740625,3.76875,3.7265625,3.7171875,3.740625,3.759375,3.815625,3.7734375,3.7734375,3.7734375,3.7734375,3.7734375,3.7734375,3.76875,3.759375,3.75,3.7734375,3.73125,3.759375,3.80625,3.7734375,3.740625,3.7546875,3.80625,3.80625,3.76875,3.76875,3.7125,3.80625,3.7546875,3.796875,3.7734375,3.740625,3.759375,3.7265625,3.84375,3.8015625,3.759375,3.7734375,3.7875,3.740625,3.796875,3.796875,3.740625,3.73125,3.7171875,3.759375,3.8015625,3.759375,3.7265625
0.312,5.31875,5.0875,4.9875,4.9125,4.975,4.93125,4.95625,4.96875,4.96875,5.04375,4.96875,5.03125,5.0125,4.975,5.0125,4.975,5.0875,5,5.04375,5.0125,4.96875,4.9875,5.00625,5.06875,5.075,5.0125,5.00625,4.93125,4.9875,4.96875,4.91875,4.93125,4.9875,4.9375,5.0125,4.975,5,5.0125,5.025,5.0875,5.0875,5.0875,5.025,4.95625,5.0125,5,5.05,5.0125,5.03125,5.00625,4.975,5.00625,5.025,5.03125,5.03125,5.04375,5.04375,5.04375,5.04375,5.03125,5.03125,5.025,5,4.975,5.00625,4.95625,4.93125,5.0125,5.03125,5.09375,5.05,5.05,5,5.05,5.05,5.04375,5.04375,5.03125,4.95,5,5.03125,5.05,5.0125,5.025,4.975,4.9875,5.05,5.0625,5.0625,5.00625,5,5.05,5.05,5.04375,5.025,5.00625,4.975,5.0625,5.0125,5.03125,5.04375,5,5.00625,5.0625,5.0625,5.00625,5.00625,5.00625,5.05,5.04375,5.09375,5.0125,4.9875,5,5.0875,5.03125,5.05,5.0625,5.00625,5.0625,5.00625,5.0625,5.0625,5.00625,5,4.9875,5.03125,5.0125,5.0625,5,5.025,5.04375,5.05,5.0625,5.0625,5.00625,5.00625,5.00625,5.00625,5.00625,5,4.9875,4.975,5.025,5.0625,5.0625,5.0125,5.03125,4.9875,5,5.0625,5.0625,5.00625,5.00625,5.00625,5.0625,5.05,5.04375,5.03125,4.95,4.9875,5.0625,5.0125,5.03125,5.04375,5,5.00625,5.00625,5.00625,5.00625,5.00625,5,5,4.9875,5.03125,5.0125,4.9875,4.96875,5.06875,5.0875,5.03125,5.05,5,5.05,5.0625,5.0625,5,5.05,4.9875,5.03125,5.025,5.06875,5.04375,5.025,4.9875,5.075,5.0875,5.03125,4.9875,4.9875,5.05,5.05,5.05,4.9875,4.975,5.025,5.0125,4.9875,5.025,4.96875,4.95625,4.9875,5.0125,5.0875,5.03125,5.03125,5.03125,5.03125,5.03125,5.03125,5.025,5.0125,5,5.03125,4.975,5.0125,5.075,5.03125,4.9875,5.00625,5.075,5.075,5.025,5.025,4.95,5.075,5.00625,5.0625,5.03125,4.9875,5.0125,4.96875,5.125,5.06875,5.0125,5.03125,5.05,4.9875,5.0625,5.0625,4.9875,4.975,4.95625,5.0125,5.06875,5.0125,4.96875
0.405,6.6484375,6.3265625,6.2640625,6.16875,6.21875,6.184375,6.2140625,6.2109375,6.2109375,6.2859375,6.2109375,6.26875,6.265625,6.2421875,6.265625,6.2515625,6.325,6.25,6.278125,6.265625,6.2296875,6.253125,6.2578125,6.303125,6.328125,6.265625,6.2734375,6.18125,6.234375,6.2109375,6.1703125,6.2171875,6.234375,6.171875,6.2453125,6.21875,6.2671875,6.28125,6.28125,6.3453125,6.359375,6.359375,6.296875,6.228125,6.265625,6.25,6.3125,6.265625,6.2640625,6.2578125,6.21875,6.2734375,6.28125,6.2890625,6.2890625,6.3046875,6.3203125,6.3203125,6.3046875,6.2890625,6.2890625,6.28125,6.2671875,6.21875,6.2578125,6.2140625,6.18125,6.265625,6.2890625,6.3546875,6.3125,6.3125,6.2625,6.3125,6.3125,6.290625,6.3046875,6.2890625,6.203125,6.25,6.26875,6.29375,6.265625,6.28125,6.2359375,6.25,6.3,6.328125,6.3140625,6.271875,6.2625,6.3,6.3125,6.3046875,6.28125,6.2578125,6.2375,6.3125,6.265625,6.2890625,6.3046875,6.25,6.271875,6.3140625,6.3140625,6.271875,6.2578125,6.2578125,6.3125,6.290625,6.3515625,6.265625,6.234375,6.25,6.3265625,6.275,6.3125,6.328125,6.271875,6.3140625,6.2578125,6.3140625,6.3140625,6.271875,6.265625,6.234375,6.275,6.265625,6.309375,6.265625,6.296875,6.3046875,6.3,6.3125,6.3140625,6.271875,6.271875,6.24375,6.2578125,6.2578125,6.2625,6.25,6.2328125,6.28125,6.3125,6.328125,6.28125,6.2890625,6.234375,6.25,6.3140625,6.3140625,6.2578125,6.2578125,6.2578125,6.3140625,6.3,6.290625,6.2890625,6.1875,6.234375,6.328125,6.265625,6.3046875,6.3046875,6.25,6.2578125,6.2578125,6.271875,6.271875,6.2578125,6.25,6.25,6.234375,6.2890625,6.28125,6.25,6.2109375,6.3203125,6.34375,6.2890625,6.3125,6.2625,6.3,6.3140625,6.328125,6.2625,6.3125,6.234375,6.275,6.28125,6.3203125,6.3046875,6.28125,6.253125,6.328125,6.34375,6.2890625,6.2484375,6.2484375,6.3,6.296875,6.3125,6.2484375,6.2328125,6.28125,6.265625,6.234375,6.28125,6.2359375,6.2140625,6.234375,6.265625,6.34375,6.2890625,6.2890625,6.2890625,6.2890625,6.2890625,6.2890625,6.28125,6.265625,6.25,6.2703125,6.21875,6.234375,6.34375,6.309375,6.234375,6.2578125,6.328125,6.328125,6.296875,6.28125,6.203125,6.328125,6.2578125,6.328125,6.2890625,6.25625,6.265625,6.2109375,6.3765625,6.3359375,6.2859375,6.2890625,6.29375,6.234375,6.309375,6.309375,6.253125,6.2375,6.2171875,6.265625,6.3125,6.265625,6.2421875
0.483,7.978125,7.565625,7.540625,7.425,7.4625,7.4375,7.471875,7.453125,7.453125,7.528125,7.453125,7.50625,7.51875,7.509375,7.51875,7.528125,7.5625,7.5,7.5125,7.51875,7.490625,7.51875,7.509375,7.5375,7.58125,7.51875,7.540625,7.43125,7.48125,7.453125,7.421875,7.503125,7.48125,7.40625,7.478125,7.4625,7.534375,7.55,7.5375,7.603125,7.63125,7.63125,7.56875,7.5,7.51875,7.5,7.575,7.51875,7.496875,7.509375,7.4625,7.540625,7.5375,7.546875,7.546875,7.565625,7.596875,7.596875,7.565625,7.546875,7.546875,7.5375,7.534375,7.4625,7.509375,7.471875,7.43125,7.51875,7.546875,7.615625,7.575,7.575,7.525,7.575,7.575,7.5375,7.565625,7.546875,7.45625,7.5,7.50625,7.5375,7.51875,7.5375,7.496875,7.5125,7.55,7.59375,7.565625,7.5375,7.525,7.55,7.575,7.565625,7.5375,7.509375,7.5,7.5625,7.51875,7.546875,7.565625,7.5,7.5375,7.565625,7.565625,7.5375,7.509375,7.509375,7.575,7.5375,7.609375,7.51875,7.48125,7.5,7.565625,7.51875,7.575,7.59375,7.5375,7.565625,7.509375,7.565625,7.565625,7.5375,7.53125,7.48125,7.51875,7.51875,7.55625,7.53125,7.56875,7.565625,7.55,7.5625,7.565625,7.5375,7.5375,7.48125,7.509375,7.509375,7.525,7.5125,7.490625,7.5375,7.5625,7.59375,7.55,7.546875,7.48125,7.5,7.565625,7.565625,7.509375,7.509375,7.509375,7.565625,7.55,7.5375,7.546875,7.425,7.48125,7.59375,7.51875,7.578125,7.565625,7.5,7.509375,7.509375,7.5375,7.5375,7.509375,7.5,7.5,7.48125,7.546875,7.55,7.5125,7.453125,7.571875,7.6,7.546875,7.575,7.525,7.55,7.565625,7.59375,7.525,7.575,7.48125,7.51875,7.5375,7.571875,7.565625,7.5375,7.51875,7.58125,7.6,7.546875,7.509375,7.509375,7.55,7.54375,7.575,7.509375,7.490625,7.5375,7.51875,7.48125,7.5375,7.503125,7.471875,7.48125,7.51875,7.6,7.546875,7.546875,7.546875,7.546875,7.546875,7.546875,7.5375,7.51875,7.5,7.509375,7.4625,7.45625,7.6125,7.5875,7.48125,7.509375,7.58125,7.58125,7.56875,7.5375,7.45625,7.58125,7.509375,7.59375,7.546875,7.525,7.51875,7.453125,7.628125,7.603125,7.559375,7.546875,7.5375,7.48125,7.55625,7.55625,7.51875,7.5,7.478125,7.51875,7.55625,7.51875,7.515625
0.639,10.6375,10.109375,10.034375,9.9375,9.95,9.903125,9.95,9.9375,9.975,10.0125,9.9375,10.021875,9.984375,9.996875,10.025,10.08125,10.0375,10,9.98125,10.025,10.0125,10.05,10.0125,10.040625,10.0875,10.05625,10.075,9.93125,9.975,9.9375,9.925,9.96875,10.0375,9.928125,9.984375,9.95,10.034375,10.0875,10.08125,10.11875,10.146875,10.146875,10.08125,10.0125,10.05625,10,10.0625,9.984375,9.9625,10.0125,9.9875,10.04375,10.05,10.0625,10.0625,10.1125,10.11875,10.11875,10.0875,10.0625,10.0625,10.05,10.06875,9.95,10.0125,9.9875,9.965625,10.05625,10.0625,10.1375,10.1,10.1,10.05,10.1,10.075,10.059375,10.053125,10.0625,9.9625,10,9.98125,10.025,10.025,10.05,10.01875,10.00625,10.05,10.125,10.06875,10.06875,10.05,10.075,10.06875,10.053125,10.05,10.0125,10.025,10.09375,9.99375,10.0625,10.0875,10.025,10.09375,10.096875,10.06875,10.040625,10.0125,10.040625,10.1,10.03125,10.09375,10.025,9.975,10.03125,10.078125,10.034375,10.1,10.125,10.040625,10.06875,10.0125,10.06875,10.06875,10.040625,10.0625,10.00625,10.00625,10.025,10.05,10.0625,10.1125,10.1125,10.05,10.0625,10.06875,10.06875,10.06875,9.984375,10.0125,10.0125,10.025,10.0375,10.00625,10.015625,10.0625,10.125,10.05625,10.0625,9.975,10,10.06875,10.06875,10.040625,10.040625,10.040625,10.06875,10.05,10.03125,10.0625,9.93125,9.975,10.125,10.025,10.09375,10.0875,10.025,10.0125,10.0125,10.040625,10.06875,10.0125,10,10,9.975,10.0625,10.0875,10.0375,9.9375,10.075,10.1125,10.0625,10.1,10.025,10.05,10.06875,10.125,10.025,10.1,9.975,10.00625,10.015625,10.075,10.0875,10.05,10.0125,10.0875,10.1125,10.0625,10.03125,10.03125,10.05,10.0375,10.06875,10.03125,10.00625,10.021875,9.9875,9.975,10.00625,10.0375,9.9875,9.975,10.025,10.1125,10.0625,10.0625,10.0625,10.0625,10.034375,10.0625,10.05,10.025,10,10.025,9.95,9.9625,10.15,10.14375,9.975,10.0125,10.0875,10.11875,10.08125,10.05,9.9625,10.0875,10.0125,10.125,10.025,10.01875,9.96875,10,10.190625,10.1375,10.065625,10.0625,10.025,9.975,10.0875,10.0875,10.05,9.9875,9.95625,10.025,10.04375,10.025,10
0.702,11.9671875,11.38125,11.28125,11.19375,11.19375,11.1359375,11.1890625,11.1796875,11.2359375,11.2546875,11.1796875,11.2796875,11.2171875,11.240625,11.278125,11.3578125,11.275,11.25,11.215625,11.278125,11.2734375,11.315625,11.2640625,11.2921875,11.340625,11.325,11.3421875,11.18125,11.221875,11.1796875,11.1765625,11.2015625,11.315625,11.1890625,11.2375,11.19375,11.284375,11.35625,11.353125,11.3765625,11.4046875,11.4046875,11.3375,11.26875,11.325,11.25,11.30625,11.2171875,11.1953125,11.2640625,11.25,11.2953125,11.30625,11.3203125,11.3203125,11.3859375,11.3796875,11.3796875,11.3484375,11.3203125,11.3203125,11.30625,11.3359375,11.19375,11.2640625,11.2453125,11.2328125,11.325,11.3203125,11.3984375,11.3625,11.3625,11.3125,11.3625,11.325,11.3203125,11.296875,11.3203125,11.215625,11.25,11.21875,11.26875,11.278125,11.30625,11.2796875,11.253125,11.3,11.390625,11.3203125,11.334375,11.3125,11.3375,11.315625,11.296875,11.30625,11.2640625,11.2875,11.359375,11.23125,11.3203125,11.3484375,11.2875,11.371875,11.3625,11.3203125,11.2921875,11.2640625,11.30625,11.3625,11.278125,11.3359375,11.278125,11.221875,11.296875,11.334375,11.2921875,11.3625,11.390625,11.2921875,11.3203125,11.2640625,11.3203125,11.3203125,11.2921875,11.328125,11.26875,11.25,11.278125,11.296875,11.328125,11.384375,11.3859375,11.3,11.3125,11.3203125,11.334375,11.334375,11.2359375,11.2640625,11.2640625,11.275,11.3,11.2640625,11.2546875,11.3125,11.390625,11.309375,11.3203125,11.221875,11.25,11.3203125,11.3203125,11.30625,11.30625,11.30625,11.3203125,11.3,11.278125,11.3203125,11.184375,11.221875,11.390625,11.278125,11.3515625,11.3484375,11.2875,11.2640625,11.2640625,11.2921875,11.334375,11.2640625,11.25,11.25,11.221875,11.3203125,11.35625,11.3,11.1796875,11.3265625,11.36875,11.3203125,11.3625,11.275,11.3,11.3203125,11.390625,11.275,11.3625,11.221875,11.25,11.2546875,11.3265625,11.3484375,11.30625,11.259375,11.340625,11.36875,11.3203125,11.2921875,11.2921875,11.3,11.284375,11.315625,11.2921875,11.2640625,11.2640625,11.221875,11.221875,11.240625,11.3046875,11.2453125,11.221875,11.278125,11.36875,11.3203125,11.3203125,11.3203125,11.3203125,11.278125,11.3203125,11.30625,11.278125,11.25,11.2828125,11.19375,11.215625,11.41875,11.421875,11.221875,11.2640625,11.340625,11.3875,11.3375,11.30625,11.215625,11.340625,11.2640625,11.390625,11.2640625,11.265625,11.19375,11.2734375,11.471875,11.4046875,11.31875,11.3203125,11.26875,11.221875,11.353125,11.353125,11.315625,11.23125,11.1953125,11.278125,11.2875,11.278125,11.2421875
0.858,14.6265625,13.8921875,13.775,13.70625,13.68125,13.6015625,13.6859375,13.6640625,13.7578125,13.7578125,13.6640625,13.775,13.703125,13.728125,13.8125,13.9109375,13.75,13.7171875,13.684375,13.784375,13.7953125,13.828125,13.7671875,13.7953125,13.846875,13.846875,13.8609375,13.68125,13.715625,13.6828125,13.6796875,13.6921875,13.840625,13.684375,13.74375,13.68125,13.8015625,13.89375,13.88125,13.8921875,13.9203125,13.9203125,13.865625,13.796875,13.846875,13.75,13.79375,13.703125,13.6859375,13.7875,13.75625,13.7984375,13.81875,13.8359375,13.8359375,13.9203125,13.9015625,13.9015625,13.8703125,13.8515625,13.8359375,13.81875,13.853125,13.7,13.7671875,13.78125,13.75,13.83125,13.8359375,13.9203125,13.9015625,13.8875,13.8375,13.875,13.8375,13.8421875,13.8015625,13.8359375,13.721875,13.75,13.69375,13.75625,13.8,13.81875,13.8015625,13.746875,13.8125,13.921875,13.8375,13.8515625,13.825,13.85,13.825,13.8015625,13.81875,13.7671875,13.79375,13.890625,13.721875,13.8359375,13.8703125,13.8,13.915625,13.89375,13.8375,13.7953125,13.7671875,13.8234375,13.8875,13.771875,13.8203125,13.784375,13.715625,13.8125,13.846875,13.8078125,13.8875,13.921875,13.7953125,13.8234375,13.7671875,13.8234375,13.8234375,13.7953125,13.84375,13.778125,13.7515625,13.784375,13.790625,13.859375,13.8953125,13.9203125,13.8125,13.8125,13.8234375,13.8515625,13.8515625,13.7390625,13.78125,13.7671875,13.7875,13.809375,13.765625,13.7625,13.8125,13.921875,13.815625,13.821875,13.715625,13.7625,13.8375,13.8234375,13.8234375,13.8234375,13.8234375,13.8375,13.8,13.7859375,13.821875,13.690625,13.715625,13.921875,13.8,13.8671875,13.85625,13.8,13.78125,13.78125,13.7953125,13.8515625,13.7671875,13.75,13.75,13.7296875,13.8359375,13.878125,13.825,13.6828125,13.8453125,13.896875,13.8359375,13.871875,13.7875,13.8,13.8375,13.921875,13.775,13.875,13.715625,13.7515625,13.75,13.8296875,13.8515625,13.81875,13.753125,13.846875,13.88125,13.8359375,13.8140625,13.8,13.8,13.778125,13.825,13.8140625,13.765625,13.7625,13.709375,13.715625,13.73125,13.8140625,13.7609375,13.715625,13.784375,13.88125,13.85,13.8359375,13.8359375,13.821875,13.7796875,13.8359375,13.834375,13.784375,13.75,13.7796875,13.68125,13.721875,13.95625,13.9578125,13.734375,13.7828125,13.8625,13.909375,13.85,13.81875,13.721875,13.846875,13.7671875,13.921875,13.7609375,13.759375,13.671875,13.7890625,14.0046875,13.9609375,13.825,13.8359375,13.775,13.715625,13.884375,13.884375,13.846875,13.71875,13.6953125,13.765625,13.775,13.8125,13.7578125
0.936,15.95625,15.13125,15.021875,14.9625,14.925,14.834375,14.94375,14.90625,15.01875,15.01875,14.90625,15.0125,14.95625,14.971875,15.09375,15.1875,14.9875,14.934375,14.91875,15.0375,15.05625,15.075,15.01875,15.046875,15.1,15.1,15.1125,14.93125,14.9625,14.94375,14.93125,14.95,15.0875,14.91875,14.996875,14.925,15.06875,15.1625,15.1375,15.15,15.178125,15.178125,15.1375,15.06875,15.1,15,15.0375,14.95625,14.94375,15.059375,15,15.05,15.075,15.09375,15.09375,15.18125,15.1625,15.1625,15.13125,15.125,15.09375,15.075,15.103125,14.9625,15.01875,15.059375,15,15.06875,15.09375,15.18125,15.178125,15.15,15.1,15.125,15.1,15.103125,15.0625,15.09375,14.975,15,14.93125,15,15.06875,15.075,15.0625,14.99375,15.075,15.1875,15.103125,15.103125,15.075,15.1,15.0875,15.0625,15.075,15.01875,15.0375,15.15625,14.975,15.09375,15.13125,15.05,15.18125,15.159375,15.103125,15.046875,15.01875,15.075,15.15,15.01875,15.0625,15.0375,14.9625,15.0625,15.103125,15.065625,15.15,15.1875,15.046875,15.075,15.01875,15.075,15.075,15.046875,15.09375,15.025,15.009375,15.0375,15.0375,15.125,15.134375,15.18125,15.075,15.0625,15.075,15.103125,15.103125,14.990625,15.046875,15.01875,15.05,15.05625,15.009375,15.03125,15.0625,15.1875,15.06875,15.065625,14.9625,15.025,15.103125,15.075,15.075,15.075,15.075,15.103125,15.05,15.046875,15.065625,14.94375,14.9625,15.1875,15.06875,15.125,15.103125,15.05,15.046875,15.046875,15.046875,15.103125,15.01875,15,15,14.990625,15.09375,15.13125,15.0875,14.94375,15.1125,15.16875,15.09375,15.11875,15.05,15.05,15.103125,15.1875,15.025,15.125,14.9625,15.009375,15.00625,15.08125,15.09375,15.075,15,15.1,15.1375,15.09375,15.075,15.046875,15.05,15.025,15.0875,15.075,15.009375,15.01875,14.9625,14.9625,14.9875,15.05625,15.01875,14.9625,15.0375,15.1375,15.121875,15.09375,15.09375,15.065625,15.0375,15.09375,15.10625,15.0375,15,15.01875,14.925,14.975,15.225,15.215625,15,15.05,15.13125,15.1625,15.10625,15.075,14.975,15.1,15.01875,15.1875,15.01875,15.00625,14.925,15.03125,15.25625,15.25,15.078125,15.09375,15.0375,14.9625,15.15,15.15,15.1125,14.9625,14.95625,15,15.01875,15.09375,15.03125
1.076,18.615625,17.609375,17.515625,17.475,17.4125,17.3,17.459375,17.390625,17.521875,17.521875,17.390625,17.4875,17.4625,17.459375,17.628125,17.740625,17.4625,17.36875,17.4140625,17.5640625,17.578125,17.56875,17.521875,17.5328125,17.60625,17.60625,17.63125,17.43125,17.45625,17.446875,17.434375,17.465625,17.58125,17.3875,17.4828125,17.43125,17.603125,17.684375,17.65,17.665625,17.678125,17.69375,17.68125,17.6125,17.621875,17.5,17.525,17.4625,17.459375,17.5828125,17.4875,17.553125,17.5703125,17.609375,17.609375,17.715625,17.684375,17.6703125,17.653125,17.65625,17.609375,17.5875,17.603125,17.46875,17.521875,17.5953125,17.5171875,17.559375,17.609375,17.6890625,17.7171875,17.675,17.625,17.625,17.6125,17.6109375,17.596875,17.6234375,17.48125,17.5,17.40625,17.4875,17.590625,17.5875,17.584375,17.4875,17.5875,17.71875,17.634375,17.6203125,17.575,17.6,17.6125,17.584375,17.5875,17.521875,17.525,17.671875,17.48125,17.609375,17.653125,17.5625,17.7125,17.6765625,17.634375,17.55,17.5359375,17.578125,17.6625,17.5265625,17.5625,17.54375,17.475,17.5625,17.5984375,17.58125,17.659375,17.71875,17.5640625,17.578125,17.521875,17.578125,17.5921875,17.55,17.59375,17.51875,17.5109375,17.54375,17.53125,17.65625,17.6296875,17.703125,17.6,17.5625,17.5921875,17.6203125,17.60625,17.49375,17.55,17.5359375,17.5625,17.55,17.496875,17.55625,17.5625,17.71875,17.590625,17.5671875,17.45625,17.5375,17.6203125,17.578125,17.5921875,17.578125,17.578125,17.6203125,17.55,17.56875,17.5671875,17.45,17.45625,17.7,17.590625,17.640625,17.6109375,17.5625,17.5640625,17.5640625,17.5640625,17.6203125,17.5359375,17.5,17.5,17.4984375,17.609375,17.6375,17.6125,17.465625,17.63125,17.696875,17.5953125,17.628125,17.575,17.5625,17.6203125,17.7046875,17.525,17.6375,17.471875,17.525,17.5015625,17.584375,17.596875,17.5875,17.5125,17.60625,17.65,17.609375,17.596875,17.5546875,17.5625,17.51875,17.596875,17.5828125,17.5109375,17.53125,17.45,17.45625,17.5,17.540625,17.534375,17.475,17.54375,17.65,17.6515625,17.609375,17.609375,17.553125,17.553125,17.59375,17.634375,17.559375,17.5,17.496875,17.4125,17.48125,17.7625,17.73125,17.5125,17.56875,17.653125,17.684375,17.634375,17.5875,17.48125,17.590625,17.521875,17.7,17.534375,17.5,17.43125,17.515625,17.759375,17.80625,17.584375,17.609375,17.54375,17.45625,17.6625,17.68125,17.64375,17.45,17.45625,17.4875,17.50625,17.628125,17.578125
1.154,19.9453125,18.8484375,18.7625,18.73125,18.65625,18.5328125,18.7171875,18.6328125,18.7640625,18.7640625,18.6328125,18.725,18.715625,18.703125,18.88125,19.0171875,18.7,18.5859375,18.675,18.8375,18.8390625,18.815625,18.7734375,18.7671875,18.859375,18.859375,18.8984375,18.68125,18.703125,18.6890625,18.6859375,18.7234375,18.828125,18.621875,18.715625,18.69375,18.8703125,18.9375,18.90625,18.9234375,18.9203125,18.9515625,18.953125,18.884375,18.890625,18.75,18.76875,18.715625,18.7171875,18.834375,18.73125,18.8046875,18.809375,18.8671875,18.8671875,18.9890625,18.9453125,18.9171875,18.9140625,18.9140625,18.8671875,18.84375,18.853125,18.7125,18.7734375,18.853125,18.784375,18.8125,18.8671875,18.9359375,18.9796875,18.9375,18.8875,18.875,18.8625,18.8578125,18.8703125,18.8953125,18.734375,18.75,18.64375,18.73125,18.84375,18.84375,18.8453125,18.734375,18.8375,18.984375,18.9,18.8859375,18.825,18.85,18.875,18.8453125,18.84375,18.7734375,18.76875,18.921875,18.734375,18.8671875,18.9140625,18.825,18.978125,18.928125,18.9,18.8015625,18.8015625,18.8296875,18.9125,18.7875,18.8203125,18.796875,18.740625,18.8125,18.8375,18.8390625,18.90625,18.984375,18.8296875,18.8296875,18.7734375,18.8296875,18.8578125,18.8015625,18.84375,18.765625,18.7546875,18.796875,18.778125,18.921875,18.8859375,18.9640625,18.8625,18.8125,18.8578125,18.8859375,18.8578125,18.7453125,18.7875,18.8015625,18.8125,18.796875,18.740625,18.8125,18.8125,18.984375,18.859375,18.825,18.703125,18.7875,18.871875,18.8296875,18.8578125,18.8296875,18.8296875,18.871875,18.8,18.8296875,18.825,18.703125,18.703125,18.946875,18.84375,18.8984375,18.871875,18.825,18.815625,18.815625,18.8296875,18.8859375,18.8015625,18.75,18.75,18.7453125,18.8671875,18.890625,18.875,18.7265625,18.8828125,18.953125,18.8390625,18.890625,18.8375,18.825,18.871875,18.95625,18.775,18.9,18.734375,18.7828125,18.740625,18.8359375,18.8578125,18.84375,18.778125,18.859375,18.90625,18.8671875,18.8578125,18.815625,18.825,18.765625,18.84375,18.8296875,18.76875,18.7875,18.684375,18.703125,18.75625,18.7828125,18.7921875,18.740625,18.796875,18.90625,18.909375,18.8671875,18.8671875,18.796875,18.8109375,18.8359375,18.890625,18.828125,18.75,18.7359375,18.65625,18.734375,19.03125,18.9890625,18.759375,18.8203125,18.90625,18.953125,18.90625,18.84375,18.734375,18.828125,18.7734375,18.946875,18.7921875,18.746875,18.684375,18.7578125,19.0109375,19.0734375,18.8375,18.8671875,18.7875,18.703125,18.909375,18.946875,18.909375,18.69375,18.6953125,18.740625,18.75,18.88125,18.8515625
